Wall_time,Step,Value
1649653144.7021747,1000,-41.768001556396484
1649653228.3915508,2000,-11.878999710083008
1649653321.1241302,3000,-6.24399995803833
1649653417.0503373,4000,-6.058000087738037
1649653501.2292025,5000,-5.936999797821045
1649653590.3203678,6000,-4.4670000076293945
1649653677.6267333,7000,-4.910999774932861
1649653781.5622048,8000,-4.890999794006348
1649653868.6692717,9000,-4.4730000495910645
1649653963.7800086,10000,-4.616000175476074
1649654055.2046373,11000,-4.706999778747559
1649654153.8145945,12000,-4.513000011444092
1649654248.6410165,13000,-4.579999923706055
1649654347.304976,14000,-4.465000152587891
1649654441.6311767,15000,-4.670000076293945
1649654531.4191263,16000,-4.451000213623047
1649654616.8001926,17000,-4.622000217437744
1649654706.134904,18000,-4.810999870300293
1649654806.4775834,19000,-4.704999923706055
1649654897.0420854,20000,-4.315000057220459
1649654989.6199553,21000,-4.495999813079834
1649655087.2387161,22000,-4.560999870300293
1649655174.6211395,23000,-4.800000190734863
1649655256.4559143,24000,-4.630000114440918
1649655341.2092268,25000,-4.614999771118164
