Wall_time,Step,Value
1649653310.6736937,1000,-13.822999954223633
1649653581.5373769,2000,-16.006999969482422
1649653864.2518158,3000,-1.1009999513626099
1649654138.323177,4000,-1.315000057220459
1649654409.3336306,5000,-2.2179999351501465
1649654672.6498015,6000,-3.2890000343322754
1649654940.0247378,7000,-2.8540000915527344
1649655208.8766134,8000,-3.2860000133514404
1649655459.6795022,9000,-3.9719998836517334
1649655719.3457022,10000,-3.3989999294281006
1649655970.9882503,11000,-4.573999881744385
1649656229.879994,12000,-4.258999824523926
1649656474.3629851,13000,-3.696000099182129
1649656715.34752,14000,-4.455999851226807
1649656928.1361997,15000,-4.224999904632568
1649657114.1228108,16000,-3.5899999141693115
1649657271.7113717,17000,-3.630000114440918
1649657425.5231857,18000,-4.11299991607666
1649657578.1934657,19000,-4.379000186920166
1649657730.07212,20000,-4.919000148773193
1649657883.5796897,21000,-4.9670000076293945
1649658022.1690664,22000,-3.5799999237060547
1649658154.0452886,23000,-4.941999912261963
1649658279.496858,24000,-5.015999794006348
1649658389.6564705,25000,-4.513999938964844
