Wall_time,Step,Value
1649653233.3580625,1000,-27.927000045776367
1649653417.675121,2000,-26.43400001525879
1649653598.2659676,3000,-10.383000373840332
1649653784.1153936,4000,-8.755999565124512
1649653971.4876485,5000,-8.067999839782715
1649654155.3554604,6000,-7.613999843597412
1649654343.2641442,7000,-7.025000095367432
1649654514.4926996,8000,-6.906000137329102
1649654696.5153325,9000,-7.109000205993652
1649654881.322946,10000,-6.7820000648498535
1649655061.866591,11000,-6.702000141143799
1649655239.5064998,12000,-6.934000015258789
1649655411.231758,13000,-6.744999885559082
1649655578.3288076,14000,-6.673999786376953
1649655751.6505888,15000,-7.043000221252441
1649655923.2449093,16000,-6.745999813079834
1649656089.4943106,17000,-6.881999969482422
1649656256.4017456,18000,-6.750999927520752
1649656420.7247198,19000,-6.949999809265137
1649656586.7325675,20000,-6.815000057220459
1649656750.1860185,21000,-6.8979997634887695
1649656886.98963,22000,-6.646999835968018
1649657019.6336117,23000,-6.692999839782715
1649657138.9645452,24000,-6.603000164031982
1649657246.5205932,25000,-6.445000171661377
