Wall_time,Step,Value
1649653230.2125146,1000,-75.77300262451172
1649653402.8833928,2000,-61.10300064086914
1649653582.3219995,3000,-29.384000778198242
1649653755.1746027,4000,-29.777999877929688
1649653931.3890705,5000,-29.327999114990234
1649654110.0051608,6000,-28.106000900268555
1649654284.8528948,7000,-29.233999252319336
1649654463.3402596,8000,-30.448999404907227
1649654632.6027133,9000,-30.64699935913086
1649654813.9685624,10000,-30.277000427246094
1649654991.6123805,11000,-31.482999801635742
1649655167.2964919,12000,-31.36199951171875
1649655332.1599026,13000,-32.507999420166016
1649655491.9836185,14000,-30.21500015258789
1649655662.247834,15000,-31.343000411987305
1649655816.7983732,16000,-31.614999771118164
1649655951.1610694,17000,-32.63399887084961
1649656080.9991417,18000,-32.30699920654297
1649656221.2229624,19000,-30.363000869750977
1649656362.5456338,20000,-30.301000595092773
1649656512.423588,21000,-32.0260009765625
1649656652.1338298,22000,-32.32699966430664
1649656795.2745998,23000,-30.166000366210938
1649656939.041412,24000,-31.233999252319336
1649657057.8760927,25000,-31.52400016784668
