Wall_time,Step,Value
1649843199.667376,1000,-120.23799896240234
1649843320.2675598,2000,-122.16799926757812
1649843435.781721,3000,-107.60900115966797
1649843551.264701,4000,-111.19499969482422
1649843668.0017328,5000,-113.35099792480469
1649843786.4335425,6000,-116.20899963378906
1649843905.0820808,7000,-111.95700073242188
1649844024.1661084,8000,-106.80599975585938
1649844142.9346404,9000,-110.27999877929688
1649844260.4617884,10000,-114.03500366210938
1649844379.128136,11000,-108.9739990234375
1649844497.955191,12000,-108.24299621582031
1649844615.3627603,13000,-107.29100036621094
1649844733.2592921,14000,-105.82599639892578
1649844851.9130049,15000,-105.96900177001953
1649844968.4266403,16000,-105.87300109863281
1649845085.0523846,17000,-104.75399780273438
1649845201.7616327,18000,-104.6709976196289
1649845321.4294481,19000,-103.76000213623047
1649845440.413553,20000,-105.0530014038086
1649845557.8677123,21000,-103.75800323486328
1649845677.815009,22000,-104.57599639892578
1649845794.2946804,23000,-104.93099975585938
1649845914.1302152,24000,-104.99099731445312
1649846033.2744775,25000,-103.22000122070312
1649846150.3016248,26000,-104.38800048828125
1649846267.5679333,27000,-103.52400207519531
1649846385.343505,28000,-103.85600280761719
1649846502.6164813,29000,-103.30500030517578
1649846620.9523516,30000,-104.23999786376953
1649846737.7330503,31000,-103.5199966430664
1649846855.630568,32000,-101.697998046875
1649846971.8191504,33000,-102.28199768066406
1649847088.0723748,34000,-101.5999984741211
1649847203.7881885,35000,-100.45899963378906
1649847320.3575006,36000,-100.30699920654297
1649847436.4072652,37000,-99.39099884033203
1649847553.303572,38000,-99.74099731445312
1649847669.522746,39000,-99.45099639892578
1649847785.1827173,40000,-97.79399871826172
1649847901.7539442,41000,-98.71299743652344
1649848017.964266,42000,-98.21299743652344
1649848137.9846857,43000,-96.08399963378906
1649848254.681257,44000,-95.4280014038086
1649848371.5702832,45000,-94.69000244140625
1649848488.666493,46000,-94.59200286865234
1649848605.080914,47000,-95.15299987792969
1649848721.9290943,48000,-93.02100372314453
1649848838.9295406,49000,-93.03299713134766
1649848956.1963685,50000,-91.4000015258789
1649849073.6630864,51000,-91.56099700927734
1649849190.7651136,52000,-91.98400115966797
1649849309.5118504,53000,-91.50299835205078
1649849427.5028024,54000,-91.16899871826172
1649849546.1083019,55000,-91.80000305175781
1649849663.603522,56000,-92.56400299072266
1649849782.5013008,57000,-92.03399658203125
1649849902.7793372,58000,-92.40499877929688
1649850022.644029,59000,-91.77300262451172
1649850139.2899802,60000,-92.76799774169922
1649850257.1843941,61000,-91.91400146484375
1649850374.9928222,62000,-92.05400085449219
1649850491.8466158,63000,-91.98100280761719
1649850607.6492732,64000,-90.1050033569336
1649850725.2103226,65000,-89.51899719238281
1649850841.5605898,66000,-89.89600372314453
1649850957.191353,67000,-90.67900085449219
1649851073.5544424,68000,-90.31300354003906
1649851191.3038743,69000,-90.0780029296875
1649851307.3932085,70000,-90.85399627685547
1649851425.044503,71000,-90.64199829101562
1649851541.6492667,72000,-89.73699951171875
1649851658.6464965,73000,-89.59500122070312
1649851776.2515347,74000,-89.82099914550781
1649851894.4204595,75000,-89.65699768066406
1649852011.2515616,76000,-89.1760025024414
1649852127.4564312,77000,-90.16500091552734
1649852245.7592912,78000,-90.37000274658203
1649852362.119611,79000,-90.60199737548828
1649852480.2139192,80000,-90.20500183105469
1649852597.6989663,81000,-90.37200164794922
1649852714.1428506,82000,-89.83399963378906
1649852834.580111,83000,-90.33300018310547
1649852951.60814,84000,-90.23600006103516
1649853069.8980725,85000,-89.2959976196289
1649853188.13667,86000,-88.94999694824219
1649853305.0776181,87000,-88.9209976196289
1649853421.9874854,88000,-89.5739974975586
1649853538.9278896,89000,-90.4739990234375
1649853655.8305933,90000,-90.31400299072266
1649853772.4364045,91000,-89.80500030517578
1649853888.910078,92000,-88.89299774169922
1649854005.8746836,93000,-87.84700012207031
1649854123.8151715,94000,-87.36799621582031
1649854241.7781992,95000,-87.8280029296875
1649854359.1281555,96000,-87.18900299072266
1649854476.6229641,97000,-86.72200012207031
1649854592.7731209,98000,-86.29499816894531
1649854708.5411801,99000,-86.16400146484375
1649854823.630566,100000,-87.56400299072266
