Wall_time,Step,Value
1649653152.7281845,1000,-40.492000579833984
1649653236.6145139,2000,-28.183000564575195
1649653318.738737,3000,-6.86899995803833
1649653400.0245433,4000,-6.933000087738037
1649653483.0032358,5000,-6.920000076293945
1649653559.7416434,6000,-6.486999988555908
1649653646.7652206,7000,-6.175000190734863
1649653729.881091,8000,-6.281000137329102
1649653807.2925274,9000,-5.704999923706055
1649653893.8299112,10000,-5.958000183105469
1649653974.3384967,11000,-6.026000022888184
1649654058.020453,12000,-6.223999977111816
1649654143.2836602,13000,-6.086999893188477
1649654225.768779,14000,-5.9120001792907715
1649654310.1839519,15000,-6.01800012588501
1649654390.3103235,16000,-6.4079999923706055
1649654473.6241002,17000,-6.041999816894531
1649654554.154186,18000,-5.861999988555908
1649654636.7130036,19000,-6.01800012588501
1649654721.8763347,20000,-6.146999835968018
1649654803.7370534,21000,-5.833000183105469
1649654886.3410358,22000,-5.955999851226807
1649654971.167537,23000,-6.198999881744385
1649655053.8803105,24000,-5.932000160217285
1649655136.167802,25000,-5.867000102996826
