Wall_time,Step,Value
1649653290.8236265,1000,-15.734999656677246
1649653541.1039052,2000,-15.958999633789062
1649653785.0305922,3000,-0.08299999684095383
1649654023.9761817,4000,-1.465999960899353
1649654268.419567,5000,-2.114000082015991
1649654496.5083132,6000,-2.86299991607666
1649654740.4985762,7000,-4.14900016784668
1649654984.4580033,8000,-4.441999912261963
1649655225.207427,9000,-4.857999801635742
1649655451.3936102,10000,-5.204999923706055
1649655681.9805212,11000,-4.563000202178955
1649655915.0090263,12000,-4.603000164031982
1649656136.5070865,13000,-4.979000091552734
1649656360.2923129,14000,-4.9629998207092285
1649656580.6394298,15000,-4.915999889373779
1649656797.5187316,16000,-3.877000093460083
1649656994.7196214,17000,-3.6689999103546143
1649657166.3091962,18000,-3.058000087738037
1649657341.8708556,19000,-3.434000015258789
1649657477.4163566,20000,-3.4000000953674316
1649657618.668558,21000,-3.3480000495910645
1649657753.6332955,22000,-3.88700008392334
1649657895.8364215,23000,-4.111000061035156
1649658017.8521621,24000,-4.504000186920166
1649658145.0863862,25000,-4.158999919891357
