Wall_time,Step,Value
1649653189.597546,1000,-82.91600036621094
1649653335.8793232,2000,-69.61199951171875
1649653500.3292675,3000,-30.047000885009766
1649653655.57309,4000,-28.736000061035156
1649653808.855716,5000,-26.312000274658203
1649653954.390087,6000,-21.91900062561035
1649654114.3030725,7000,-22.70199966430664
1649654274.6373966,8000,-22.242000579833984
1649654428.7240722,9000,-22.075000762939453
1649654590.7426043,10000,-21.961999893188477
1649654745.9697528,11000,-23.645000457763672
1649654894.572267,12000,-22.405000686645508
1649655047.351306,13000,-23.160999298095703
1649655192.7851064,14000,-23.5
1649655333.4278402,15000,-23.009000778198242
1649655466.3585231,16000,-22.113000869750977
1649655592.2151513,17000,-23.683000564575195
1649655717.2135043,18000,-22.996999740600586
1649655843.8578682,19000,-22.239999771118164
1649655997.2473457,20000,-22.440000534057617
1649656148.562345,21000,-22.836000442504883
1649656305.5440161,22000,-22.277000427246094
1649656447.3540032,23000,-23.292999267578125
1649656589.1433408,24000,-23.45800018310547
1649656735.2233303,25000,-23.108999252319336
