Wall_time,Step,Value
1649843188.5542102,1000,-116.75700378417969
1649843293.627918,2000,-134.2010040283203
1649843399.3454576,3000,-100.1449966430664
1649843505.0056877,4000,-97.85099792480469
1649843610.7689228,5000,-99.0780029296875
1649843716.8443651,6000,-103.41600036621094
1649843822.636744,7000,-103.72100067138672
1649843928.4473774,8000,-101.63200378417969
1649844034.2345817,9000,-100.35299682617188
1649844140.006706,10000,-102.21600341796875
1649844245.6736286,11000,-101.56999969482422
1649844351.593372,12000,-102.05799865722656
1649844457.5585148,13000,-100.6520004272461
1649844563.5245016,14000,-99.93099975585938
1649844669.455528,15000,-99.81400299072266
1649844775.3661447,16000,-99.6709976196289
1649844881.4220014,17000,-101.85700225830078
1649844987.3612251,18000,-100.68699645996094
1649845093.5859237,19000,-100.2030029296875
1649845199.7960696,20000,-99.47599792480469
1649845305.8019125,21000,-100.18499755859375
1649845411.9516745,22000,-99.90599822998047
1649845518.1995978,23000,-100.1259994506836
1649845624.5661342,24000,-101.16500091552734
1649845730.758568,25000,-98.99199676513672
1649845837.1015637,26000,-100.00299835205078
1649845943.5066285,27000,-101.00299835205078
1649846049.8557706,28000,-99.94999694824219
1649846156.4774902,29000,-100.98899841308594
1649846263.2004147,30000,-99.58399963378906
1649846369.6916027,31000,-99.88200378417969
1649846475.5730324,32000,-99.4010009765625
1649846581.2310698,33000,-100.87799835205078
1649846686.9730215,34000,-98.87899780273438
1649846792.59284,35000,-99.80699920654297
1649846898.4403708,36000,-100.30400085449219
1649847004.4485176,37000,-99.8499984741211
1649847110.3041267,38000,-99.697998046875
1649847216.1614919,39000,-99.94100189208984
1649847322.0889165,40000,-99.82599639892578
1649847427.9134567,41000,-100.09500122070312
1649847533.845339,42000,-101.86900329589844
1649847639.6839023,43000,-102.46199798583984
1649847745.6726656,44000,-100.22799682617188
1649847851.6086588,45000,-99.59600067138672
1649847957.6391094,46000,-101.23200225830078
1649848063.5106723,47000,-101.15599822998047
1649848169.5060637,48000,-101.53700256347656
1649848275.7620304,49000,-102.07499694824219
1649848381.9399593,50000,-102.1989974975586
1649848488.1987228,51000,-102.39099884033203
1649848594.2658708,52000,-101.67400360107422
1649848700.4009666,53000,-100.48699951171875
1649848806.5789611,54000,-100.35700225830078
1649848912.931988,55000,-100.51899719238281
1649849019.1293511,56000,-100.77200317382812
1649849125.6315255,57000,-101.75700378417969
1649849232.4396977,58000,-101.14399719238281
1649849339.0638697,59000,-101.54199981689453
1649849445.6362627,60000,-100.94200134277344
1649849552.1789436,61000,-100.43000030517578
1649849658.745346,62000,-101.18599700927734
1649849765.5349095,63000,-100.25700378417969
1649849872.0798979,64000,-100.51399993896484
1649849978.805942,65000,-101.19000244140625
1649850085.4872906,66000,-100.98699951171875
1649850192.1789894,67000,-100.8239974975586
1649850298.9044175,68000,-101.5989990234375
1649850404.8853583,69000,-101.36399841308594
1649850510.5807536,70000,-99.7699966430664
1649850616.070706,71000,-100.89099884033203
1649850721.7221792,72000,-100.42500305175781
1649850827.5052106,73000,-99.75
1649850933.2481973,74000,-100.78299713134766
1649851039.4229233,75000,-101.29900360107422
1649851145.5838485,76000,-101.48300170898438
1649851251.679371,77000,-101.40599822998047
1649851357.7750177,78000,-99.45800018310547
1649851463.8904152,79000,-100.4020004272461
1649851569.9834135,80000,-100.8499984741211
1649851676.0179665,81000,-100.92900085449219
1649851782.0852048,82000,-100.4530029296875
1649851888.0794506,83000,-102.06199645996094
1649851994.065914,84000,-99.71399688720703
1649852100.145358,85000,-101.14299774169922
1649852206.2399786,86000,-101.3219985961914
1649852312.4185293,87000,-101.2239990234375
1649852418.6172605,88000,-102.31999969482422
1649852524.7731876,89000,-101.99700164794922
1649852631.0695167,90000,-101.91500091552734
1649852737.2892244,91000,-101.15299987792969
1649852843.6131022,92000,-100.74800109863281
1649852950.0202668,93000,-101.65299987792969
1649853056.6136973,94000,-101.39900207519531
1649853163.078905,95000,-102.05000305175781
1649853269.526573,96000,-101.23699951171875
1649853376.1003573,97000,-100.73500061035156
1649853482.6613178,98000,-100.30400085449219
1649853589.1098084,99000,-100.45700073242188
1649853695.3486705,100000,-100.2249984741211
