Wall_time,Step,Value
1649653146.9751508,1000,-39.33100128173828
1649653229.234443,2000,-24.0939998626709
1649653329.5644984,3000,-7.336999893188477
1649653423.782121,4000,-6.020999908447266
1649653514.685061,5000,-5.98799991607666
1649653609.759005,6000,-5.813000202178955
1649653697.6274967,7000,-5.289000034332275
1649653791.675345,8000,-4.693999767303467
1649653888.7518673,9000,-4.6539998054504395
1649653983.116228,10000,-4.363999843597412
1649654078.3977163,11000,-4.443999767303467
1649654175.4308949,12000,-4.489999771118164
1649654272.4418392,13000,-4.714000225067139
1649654364.535044,14000,-4.39900016784668
1649654458.2910094,15000,-4.453999996185303
1649654549.963358,16000,-4.686999797821045
1649654659.1718843,17000,-4.203999996185303
1649654756.104143,18000,-4.665999889373779
1649654853.2232218,19000,-4.815000057220459
1649654946.0232992,20000,-4.455999851226807
1649655038.105142,21000,-4.755000114440918
1649655131.5828779,22000,-4.691999912261963
1649655220.0474591,23000,-4.406000137329102
1649655307.4001367,24000,-4.7829999923706055
1649655397.6945412,25000,-4.783999919891357
