Wall_time,Step,Value
1649653273.0269573,1000,-17.98699951171875
1649653540.2675407,2000,-13.196000099182129
1649653791.1008117,3000,-0.5740000009536743
1649654059.3999875,4000,-0.9850000143051147
1649654323.6245787,5000,-2.4820001125335693
1649654597.111098,6000,-2.881999969482422
1649654873.4309678,7000,-2.632999897003174
1649655148.195075,8000,-2.7839999198913574
1649655392.5800183,9000,-2.927999973297119
1649655614.8435054,10000,-3.8340001106262207
1649655842.09374,11000,-4.420000076293945
1649656050.9180126,12000,-4.017000198364258
1649656276.6017706,13000,-3.2139999866485596
1649656498.1881924,14000,-3.503000020980835
1649656720.6122296,15000,-4.671000003814697
1649656945.2182474,16000,-4.7729997634887695
1649657167.7049813,17000,-3.936000108718872
1649657364.1343973,18000,-4.566999912261963
1649657494.9779162,19000,-4.1479997634887695
1649657662.5165422,20000,-5.289999961853027
1649657817.4757094,21000,-4.894999980926514
1649657993.2141225,22000,-5.145999908447266
1649658126.4592896,23000,-5.01200008392334
1649658252.7607882,24000,-4.052999973297119
1649658363.9152393,25000,-3.1489999294281006
