Wall_time,Step,Value
1649653301.1428757,1000,-35.83599853515625
1649653564.4252262,2000,-11.380999565124512
1649653821.9555545,3000,-3.434000015258789
1649654080.8035486,4000,-0.3959999978542328
1649654333.7210407,5000,-4.236000061035156
1649654587.9776618,6000,-5.521999835968018
1649654850.0201275,7000,1.034000039100647
1649655109.0339148,8000,9.54800033569336
1649655352.6146119,9000,2.2909998893737793
1649655589.7560081,10000,-3.384000062942505
1649655824.444258,11000,-0.296999990940094
1649656072.8100133,12000,-14.151000022888184
1649656310.04911,13000,-7.414999961853027
1649656543.4919362,14000,-13.729000091552734
1649656779.8305519,15000,-18.93600082397461
1649656974.6857662,16000,-15.335000038146973
1649657147.222062,17000,-13.39900016784668
1649657297.7837663,18000,-12.770000457763672
1649657479.534845,19000,-14.524999618530273
1649657639.139263,20000,-13.484000205993652
1649657793.1948915,21000,-13.381999969482422
1649657954.9069312,22000,-13.210000038146973
1649658114.1968544,23000,-13.803999900817871
1649658238.117116,24000,-12.281999588012695
1649658348.6549153,25000,-11.368000030517578
