Wall_time,Step,Value
1649653210.9852326,1000,-30.56999969482422
1649653388.6867151,2000,-18.30299949645996
1649653560.602275,3000,-10.736000061035156
1649653736.5045338,4000,-8.305000305175781
1649653920.0281522,5000,-8.031999588012695
1649654102.820122,6000,-7.678999900817871
1649654281.987189,7000,-7.2210001945495605
1649654453.7347653,8000,-7.034999847412109
1649654635.037306,9000,-6.960000038146973
1649654807.02878,10000,-6.992000102996826
1649654984.8364909,11000,-6.929999828338623
1649655164.2139678,12000,-6.84499979019165
1649655330.0114067,13000,-6.8429999351501465
1649655484.2443957,14000,-6.578999996185303
1649655618.7475867,15000,-6.855000019073486
1649655753.4809794,16000,-6.822000026702881
1649655890.7732546,17000,-6.749000072479248
1649656031.2426999,18000,-6.921999931335449
1649656182.4824948,19000,-6.828000068664551
1649656345.1809669,20000,-6.734000205993652
1649656506.6787567,21000,-6.6539998054504395
1649656675.1940284,22000,-6.810999870300293
1649656832.2577395,23000,-6.677999973297119
1649656964.2167401,24000,-6.61299991607666
1649657095.2177856,25000,-6.7789998054504395
