Wall_time,Step,Value
1649653234.0989385,1000,-104.28800201416016
1649653417.2675226,2000,-69.01399993896484
1649653591.9406333,3000,-31.8439998626709
1649653773.546907,4000,-29.382999420166016
1649653943.3969157,5000,-29.80699920654297
1649654114.593248,6000,-29.33300018310547
1649654285.8082201,7000,-23.42099952697754
1649654455.132347,8000,-21.945999145507812
1649654621.6422079,9000,-23.469999313354492
1649654797.1571362,10000,-23.39699935913086
1649654976.0529768,11000,-23.756999969482422
1649655155.4388444,12000,-24.96299934387207
1649655319.1323123,13000,-22.216999053955078
1649655485.171778,14000,-20.816999435424805
1649655646.5143993,15000,-21.05299949645996
1649655808.1143928,16000,-22.31800079345703
1649655975.243384,17000,-23.531999588012695
1649656138.3513448,18000,-22.30699920654297
1649656302.1270082,19000,-22.075000762939453
1649656450.5002975,20000,-20.709999084472656
1649656611.6465573,21000,-21.76799964904785
1649656761.7402878,22000,-21.910999298095703
1649656896.8164396,23000,-21.2189998626709
1649657031.8153253,24000,-22.270000457763672
1649657148.038354,25000,-20.665000915527344
