Wall_time,Step,Value
1649653296.674212,1000,-113.18900299072266
1649653582.978467,2000,-120.802001953125
1649653859.1318817,3000,-113.1259994506836
1649654130.4067814,4000,-121.28800201416016
1649654432.8886251,5000,-117.18099975585938
1649654711.5602553,6000,-116.97699737548828
1649654992.8679125,7000,-118.26100158691406
1649655254.3164618,8000,-111.20099639892578
1649655501.6212387,9000,-112.34700012207031
1649655709.9099157,10000,-107.8290023803711
1649655935.1684985,11000,-109.78099822998047
1649656161.21122,12000,-110.99700164794922
1649656394.4543874,13000,-109.24199676513672
1649656631.9454885,14000,-105.80799865722656
1649656873.886549,15000,-104.58100128173828
1649657077.9701378,16000,-104.55799865722656
1649657255.2435591,17000,-103.96299743652344
1649657442.8056467,18000,-105.02899932861328
1649657586.3824656,19000,-105.13099670410156
1649657756.9424915,20000,-105.34500122070312
1649657931.7038026,21000,-105.40299987792969
1649658107.389616,22000,-106.24099731445312
1649658243.5782952,23000,-105.50800323486328
1649658364.9119198,24000,-104.71299743652344
1649658480.5419152,25000,-104.51200103759766
