Wall_time,Step,Value
1649653141.2580152,1000,-43.750999450683594
1649653216.44557,2000,-22.89299964904785
1649653296.782052,3000,-6.953000068664551
1649653380.804775,4000,-7.019999980926514
1649653471.9372938,5000,-6.789000034332275
1649653555.7160141,6000,-6.610000133514404
1649653638.6260114,7000,-6.677000045776367
1649653729.1049693,8000,-5.9679999351501465
1649653806.3650317,9000,-6.309000015258789
1649653895.671118,10000,-6.59499979019165
1649653989.6352508,11000,-6.132999897003174
1649654069.2093208,12000,-5.8460001945495605
1649654150.6221192,13000,-6.166999816894531
1649654236.580393,14000,-5.9670000076293945
1649654316.411572,15000,-6.000999927520752
1649654410.4731817,16000,-6.177999973297119
1649654507.7740192,17000,-6.376999855041504
1649654581.4515495,18000,-5.992000102996826
1649654660.8104105,19000,-5.8429999351501465
1649654746.742363,20000,-6.192999839782715
1649654830.2854366,21000,-6.406000137329102
1649654905.781673,22000,-6.353000164031982
1649654986.8718824,23000,-6.302000045776367
1649655070.0669959,24000,-6.275000095367432
1649655145.1492517,25000,-6.046000003814697
