Wall_time,Step,Value
1649653280.757918,1000,-12.40999984741211
1649653515.8614213,2000,-12.977999687194824
1649653762.5474243,3000,-0.9829999804496765
1649653998.393097,4000,-1.8519999980926514
1649654250.4472163,5000,-3.4089999198913574
1649654484.4212816,6000,-2.190000057220459
1649654713.5534425,7000,-3.177999973297119
1649654954.304065,8000,-3.5190000534057617
1649655198.3575842,9000,-3.433000087738037
1649655416.9031339,10000,-3.3559999465942383
1649655635.5220108,11000,-3.6029999256134033
1649655857.9302597,12000,-4.136000156402588
1649656077.4273891,13000,-4.020999908447266
1649656293.5870697,14000,-3.680000066757202
1649656505.2741792,15000,-3.86899995803833
1649656713.3362236,16000,-4.01200008392334
1649656897.715273,17000,-3.7880001068115234
1649657063.4494164,18000,-4.010000228881836
1649657217.8461509,19000,-3.9709999561309814
1649657359.90346,20000,-4.199999809265137
1649657496.2568269,21000,-3.946000099182129
1649657631.5500216,22000,-3.122999906539917
1649657768.0605407,23000,-3.068000078201294
1649657899.512466,24000,-2.5239999294281006
1649658030.4915755,25000,-3.1610000133514404
