Wall_time,Step,Value
1649653293.186145,1000,-34.40599822998047
1649653528.4362056,2000,-10.916000366210938
1649653765.9753094,3000,-5.035999774932861
1649654001.1113236,4000,-16.215999603271484
1649654229.934561,5000,-13.118000030517578
1649654459.7103417,6000,-2.4240000247955322
1649654692.0140724,7000,-17.610000610351562
1649654934.328041,8000,-6.1620001792907715
1649655162.561205,9000,-9.045999526977539
1649655388.7550497,10000,-10.600000381469727
1649655612.5975046,11000,-11.442000389099121
1649655835.7753854,12000,-9.807999610900879
1649656055.07244,13000,-6.420000076293945
1649656263.23229,14000,-5.559999942779541
1649656475.2385352,15000,-17.43600082397461
1649656689.1892583,16000,-10.482000350952148
1649656878.440429,17000,-8.767999649047852
1649657045.390083,18000,-11.637999534606934
1649657190.361526,19000,-25.13800048828125
1649657329.8418384,20000,-11.395999908447266
1649657457.0814312,21000,-10.845999717712402
1649657591.9213736,22000,-22.908000946044922
1649657724.6663098,23000,-25.31599998474121
1649657862.4940588,24000,-24.697999954223633
1649657990.9334168,25000,-24.81399917602539
