Wall_time,Step,Value
1649653196.0674343,1000,-29.128000259399414
1649653356.892552,2000,-20.684999465942383
1649653512.0688348,3000,-10.95199966430664
1649653674.9543433,4000,-9.994999885559082
1649653841.6238656,5000,-9.54699993133545
1649653988.7378523,6000,-9.21399974822998
1649654141.7473896,7000,-9.145000457763672
1649654300.8671174,8000,-9.03499984741211
1649654478.7053697,9000,-8.86299991607666
1649654636.3763452,10000,-8.729000091552734
1649654807.2331815,11000,-8.927000045776367
1649654975.8057766,12000,-8.833999633789062
1649655130.1830072,13000,-8.569000244140625
1649655286.717702,14000,-8.854000091552734
1649655426.867289,15000,-8.937000274658203
1649655558.7319102,16000,-8.970999717712402
1649655675.5653315,17000,-8.842000007629395
1649655790.6762955,18000,-8.743000030517578
1649655916.143732,19000,-8.678000450134277
1649656031.4251206,20000,-8.923999786376953
1649656166.692616,21000,-8.8149995803833
1649656290.307212,22000,-8.87399959564209
1649656422.3507686,23000,-8.600000381469727
1649656558.5840082,24000,-8.755999565124512
1649656689.9284217,25000,-8.545999526977539
