Wall_time,Step,Value
1649653190.4732282,1000,-83.61900329589844
1649653332.0816157,2000,-122.01300048828125
1649653485.7630417,3000,-33.000999450683594
1649653635.8118134,4000,-30.486000061035156
1649653792.6257806,5000,-29.132999420166016
1649653944.347194,6000,-27.246999740600586
1649654098.5010734,7000,-25.908000946044922
1649654243.897565,8000,-23.033000946044922
1649654416.0627692,9000,-23.492000579833984
1649654571.1042027,10000,-23.350000381469727
1649654727.2373645,11000,-23.458999633789062
1649654892.629416,12000,-26.69499969482422
1649655055.1971729,13000,-26.847000122070312
1649655203.639973,14000,-25.621999740600586
1649655340.3870244,15000,-23.863000869750977
1649655470.1937184,16000,-23.22100067138672
1649655595.6045725,17000,-21.19499969482422
1649655709.529293,18000,-23.591999053955078
1649655819.7840898,19000,-22.631000518798828
1649655945.4453921,20000,-22.738000869750977
1649656068.599237,21000,-23.3439998626709
1649656196.8839786,22000,-25.552000045776367
1649656327.8886957,23000,-24.170000076293945
1649656455.3568358,24000,-22.98900032043457
1649656584.4747128,25000,-23.75200080871582
