Wall_time,Step,Value
1649843189.431096,1000,-113.01699829101562
1649843296.2608638,2000,-129.25
1649843402.5089211,3000,-98.81099700927734
1649843510.8384829,4000,-101.18399810791016
1649843618.649056,5000,-102.66799926757812
1649843727.196209,6000,-107.11799621582031
1649843833.729378,7000,-105.67500305175781
1649843941.8037074,8000,-104.01899719238281
1649844048.5327978,9000,-104.00900268554688
1649844156.0224025,10000,-104.26599884033203
1649844264.1231873,11000,-103.7030029296875
1649844370.7937827,12000,-105.02799987792969
1649844477.8273754,13000,-103.0479965209961
1649844584.1879847,14000,-102.9489974975586
1649844693.151532,15000,-103.54100036621094
1649844800.197127,16000,-102.96399688720703
1649844906.7036414,17000,-103.19000244140625
1649845014.2048132,18000,-100.75499725341797
1649845120.7075326,19000,-101.77799987792969
1649845227.3398309,20000,-101.37799835205078
1649845334.6078393,21000,-101.16999816894531
1649845443.7848015,22000,-101.88300323486328
1649845552.6917531,23000,-102.02200317382812
1649845659.840579,24000,-101.18499755859375
1649845767.6133316,25000,-100.99299621582031
1649845875.133902,26000,-100.73899841308594
1649845981.8158822,27000,-100.8499984741211
1649846089.482015,28000,-101.05899810791016
1649846197.7154799,29000,-102.71299743652344
1649846305.3988712,30000,-102.51300048828125
1649846412.2194393,31000,-101.44200134277344
1649846520.013716,32000,-101.96099853515625
1649846625.9595194,33000,-101.46099853515625
1649846731.9327877,34000,-101.74700164794922
1649846838.348683,35000,-102.83300018310547
1649846944.7368171,36000,-101.52300262451172
1649847051.2321308,37000,-102.41000366210938
1649847157.9115672,38000,-100.75
1649847266.1407096,39000,-101.21499633789062
1649847375.021295,40000,-101.17900085449219
1649847482.651306,41000,-100.44400024414062
1649847589.4781091,42000,-101.39099884033203
1649847697.5004807,43000,-99.7979965209961
1649847804.9389343,44000,-101.98799896240234
1649847911.5840368,45000,-100.33899688720703
1649848019.7159765,46000,-100.61599731445312
1649848126.7308416,47000,-101.27799987792969
1649848233.5795205,48000,-99.86799621582031
1649848341.8588521,49000,-99.63099670410156
1649848448.8742611,50000,-100.8949966430664
1649848556.160211,51000,-100.84500122070312
1649848665.0189657,52000,-101.26499938964844
1649848772.83588,53000,-100.4729995727539
1649848880.328076,54000,-102.92900085449219
1649848988.156437,55000,-101.88200378417969
1649849096.668382,56000,-100.90499877929688
1649849204.674314,57000,-101.04000091552734
1649849311.5857365,58000,-101.36799621582031
1649849421.1823692,59000,-101.03099822998047
1649849528.6321785,60000,-101.11199951171875
1649849637.1443415,61000,-100.89099884033203
1649849745.170934,62000,-100.90399932861328
1649849852.8829968,63000,-100.45899963378906
1649849961.0827527,64000,-101.68299865722656
1649850069.2922919,65000,-100.86699676513672
1649850178.5207815,66000,-101.08599853515625
1649850286.7486663,67000,-100.94999694824219
1649850394.3033218,68000,-100.54900360107422
1649850501.7372227,69000,-101.40399932861328
1649850609.5460443,70000,-102.13600158691406
1649850716.7815285,71000,-101.50299835205078
1649850823.2075725,72000,-100.71600341796875
1649850929.743016,73000,-100.90499877929688
1649851037.4636035,74000,-101.34100341796875
1649851144.956519,75000,-101.41200256347656
1649851252.116622,76000,-102.90799713134766
1649851359.9680347,77000,-101.34700012207031
1649851467.304578,78000,-101.58100128173828
1649851574.973325,79000,-101.98500061035156
1649851682.3581102,80000,-101.93000030517578
1649851790.2893665,81000,-102.13999938964844
1649851897.0852451,82000,-103.37100219726562
1649852004.4532623,83000,-101.30799865722656
1649852112.4535303,84000,-101.95999908447266
1649852220.0295982,85000,-101.16000366210938
1649852327.6452692,86000,-101.85399627685547
1649852435.2915945,87000,-101.14099884033203
1649852543.3670304,88000,-102.16500091552734
1649852650.7184622,89000,-102.12300109863281
1649852758.2165527,90000,-102.8290023803711
1649852866.2029455,91000,-103.28500366210938
1649852975.234688,92000,-102.41999816894531
1649853083.554466,93000,-101.81800079345703
1649853192.121029,94000,-102.33399963378906
1649853300.338813,95000,-101.48600006103516
1649853408.7928777,96000,-102.25499725341797
1649853516.9638784,97000,-101.4000015258789
1649853624.4613404,98000,-100.91400146484375
1649853732.430422,99000,-101.26200103759766
1649853839.4619198,100000,-101.68900299072266
